,id95AE_GSR_Skin_Conductance_CAL,id95AE_GSR_Skin_Resistance_CAL
1736497170.01251,1.0247033804059298,975.8974144413323
1736497170.0144699,1.019760013937259,980.6264651393234
1736497170.01642,1.0151412355114087,985.0733684787539
1736497170.0183702,1.0106814424307125,989.4031948461007
1736497170.0203202,1.006139706316843,993.8666810124073
1736497170.02228,1.0012460142423918,998.7438486711809
1736497170.02423,0.995840572688484,1004.2028397546347
1736497170.02618,0.9901296757182023,1010.0235756471898
1736497170.0281398,0.9846067848598774,1015.6853976336704
1736497170.03009,0.9798534625782077,1020.5770836274121
1736497170.03204,0.9763091604767687,1024.2349169826352
1736497170.034,0.9737282010966747,1026.9200770580196
1736497170.03595,0.971435685445747,1029.347902857676
1736497170.0379,0.9687108592043753,1032.2814367258518
1736497170.03986,0.964903004573728,1036.4090466740925
1736497170.04181,0.9603614793472158,1041.3408608537932
1736497170.04376,0.9559971768845666,1046.0822117739997
1736497170.0457199,0.952736047387754,1049.6222144039943
1736497170.04767,0.9514564841301149,1051.0023457454963
1736497170.0496202,0.9518232848095046,1050.590462291385
1736497170.0515702,0.9527534381925009,1049.5721147564625
1736497170.05353,0.953149150410719,1049.1490883657648
1736497170.05548,0.9520153213559241,1050.4102781602535
1736497170.05743,0.9496969433102994,1052.9741404035672
1736497170.0593898,0.9474055305115225,1055.5082770387871
1736497170.06134,0.9464056685465365,1056.6217521050125
1736497170.06329,0.9478003308685296,1055.1012888577734
1736497170.06525,0.9512598561545155,1051.3057162248854
1736497170.0672,0.9554233578058783,1046.7255622387054
1736497170.06915,0.9589658703041566,1042.8119866815953
1736497170.07111,0.9606795331838447,1040.8891036256402
1736497170.07306,0.9608687524044389,1040.6431622451935
1736497170.07501,0.9608783081885532,1040.63181676883
1736497170.0769699,0.9620671875311,1039.3981348174088
1736497170.07892,0.9656484779836163,1035.6398075974987
1736497170.0808702,0.9712927330858168,1029.695794214764
1736497170.0828202,0.9776377830499676,1023.0034715341574
1736497170.08478,0.9833295194356058,1016.9918219430635
1736497170.08673,0.9870513449332372,1013.0523077599913
1736497170.08868,0.9890892253581475,1010.9089032604863
1736497170.0906398,0.990707324600827,1009.2696045131007
