,id95AE_PPG_A13_CAL
1736497170.01251,2057.8337516087795
1736497170.0144699,2098.994912003974
1736497170.01642,2138.8629839214354
1736497170.0183702,2177.4958433904408
1736497170.0203202,2214.696436152214
1736497170.02228,2250.4553792689767
1736497170.02423,2284.223544613716
1736497170.02618,2315.9503483858916
1736497170.0281398,2345.5163672109957
1736497170.03009,2372.367503483273
1736497170.03204,2396.4050503443045
1736497170.034,2417.6741859856456
1736497170.03595,2436.0305936130417
1736497170.0379,2451.6572960337235
1736497170.03986,2464.6763544512587
1736497170.04181,2474.9273452830857
1736497170.04376,2482.3971956822743
1736497170.0457199,2487.014188192335
1736497170.04767,2488.652490295646
1736497170.0496202,2487.359197513776
1736497170.0515702,2483.2157826709713
1736497170.05353,2476.2630821290795
1736497170.05548,2466.650429334802
1736497170.05743,2454.397500263701
1736497170.0593898,2439.4494025390763
1736497170.06134,2421.978861563879
1736497170.06329,2401.957309508023
1736497170.06525,2379.4132066834113
1736497170.0672,2354.7960768147905
1736497170.06915,2328.224350539527
1736497170.07111,2299.771675331845
1736497170.07306,2269.9292632682605
1736497170.07501,2238.7401781400845
1736497170.0769699,2206.2235283713644
1736497170.07892,2172.8814016286824
1736497170.0808702,2138.643096101281
1736497170.0828202,2103.554273942619
1736497170.08478,2067.465095607269
1736497170.08673,2030.7779745412824
1736497170.08868,1993.4290753178223
1736497170.0906398,1955.3895052562275
1736497170.09259,1917.1974090807857
1736497170.09454,1878.8316223271754
1736497170.0965,1840.1975843132436
1736497170.09845,1801.74721975335
1736497170.1004,1763.3535545177695
1736497170.10236,1724.8896245863411
1736497170.10431,1686.8598462530035
1736497170.10626,1649.2058526358676
1736497170.1082199,1611.8820054828768
1736497170.11017,1575.3949558503984
1736497170.1121202,1539.623015633117
1736497170.1140702,1504.6030276869783
1736497170.11603,1470.188246209025
1736497170.11798,1436.7501640863486
1736497170.11993,1404.152025288403
1736497170.1218898,1372.2798370405449
1736497170.12384,1341.4908200813438
1736497170.12579,1311.6723845242868
1736497170.12775,1282.6992489733893
1736497170.1297,1254.867421248676
1736497170.13165,1228.0366166332358
1736497170.13361,1202.0836518136643
1736497170.13556,1177.2817199159147
1736497170.13751,1153.5043880702992
1736497170.1394699,1130.6490266330334
1736497170.14142,1108.9490187371173
1736497170.1433702,1088.2494300388269
1736497170.1453202,1068.4921226611887
1736497170.14728,1049.518274544058
1736497170.14923,1031.4586950952832
1736497170.15118,1014.2245433621232
1736497170.1531398,997.7879138647605
1736497170.15509,982.3637429599655
1736497170.15704,967.921217462875
1736497170.159,954.4076216240351
1736497170.16095,941.9483533191359
1736497170.1629,930.4637352804996
1736497170.16486,919.8924077883175
1736497170.16681,910.3322585231864
1736497170.16876,901.7165479026069
1736497170.1707199,893.9988390949025
1736497170.17267,887.2418679556987
1736497170.1746202,881.3423287820011
1736497170.1765702,876.2082927619144
1736497170.17853,871.7242191465444
1736497170.18048,867.8504720287203
1736497170.18243,864.5992074561029
1736497170.1843898,862.0756350270242
1736497170.18634,860.422451005194
1736497170.18829,859.7324211219849
1736497170.19025,859.9914855298111
1736497170.1922,861.0970016675548
1736497170.19415,862.9468624911617
1736497170.19611,865.4596690668857
1736497170.19806,868.5779437000256
1736497170.20001,872.3235480393487
1736497170.2019699,876.7314307952877
1736497170.20392,881.7680325255119
1736497170.2058702,887.4530204539649
1736497170.2078202,893.7757330335785
1736497170.20978,900.7638311276773
1736497170.21173,908.3365598526306
1736497170.21368,916.4969699068985
1736497170.2156398,925.2470108962062
1736497170.21759,934.4571539469398
1736497170.21954,944.1251963104861
1736497170.2215,954.273135751155
1736497170.22345,964.7765272383041
1736497170.2254,975.6619536993006
1736497170.22736,986.9658141229856
1736497170.22931,998.5591756819223
1736497170.23126,1010.4913544131606
1736497170.2332199,1022.8172204033924
1736497170.23517,1035.4097040742024
1736497170.2371202,1048.3673874941335
1736497170.2390702,1061.7502112577176
1736497170.24103,1075.694203822673
1736497170.24298,1090.1124596047005
1736497170.24493,1104.984554416149
1736497170.2468898,1120.20485378184
1736497170.24884,1135.4390221369972
1736497170.25079,1150.5831352503178
1736497170.25275,1165.6349551439077
1736497170.2547,1180.4297480580094
1736497170.25665,1195.0296471567988
1736497170.25861,1209.496496545674
1736497170.26056,1223.6931868620738
1736497170.26251,1237.7194640595003
1736497170.2644699,1251.6701433092474
1736497170.26642,1265.4269217937465
1736497170.2683702,1279.024279788049
1736497170.2703202,1292.383434463068
1736497170.27228,1305.4944057528942
1736497170.27423,1318.1502513687083
1736497170.27618,1330.3450574338062
1736497170.2781398,1342.0661197311854
1736497170.28009,1353.1278579490352
1736497170.28204,1363.5216221599865
1736497170.284,1373.2768681395894
1736497170.28595,1382.3085323686955
1736497170.2879,1390.6797365122607
1736497170.28986,1398.4381255974702
1736497170.29181,1405.4770966016067
1736497170.29376,1411.7864047958253
1736497170.2957199,1417.3397353027344
1736497170.29767,1422.0349927202749
1736497170.2996202,1425.9220523426043
1736497170.3015702,1429.0636227684006
1736497170.30353,1431.5353976008378
1736497170.30548,1433.3709707362357
1736497170.30743,1434.5643835865797
1736497170.3093898,1435.0445198468274
1736497170.31134,1434.7336711294263
1736497170.31329,1433.5744572579813
1736497170.31525,1431.6244969988174
1736497170.3172,1429.0595959448
1736497170.31915,1426.0291014197442
1736497170.32111,1422.6613763616813
1736497170.32306,1419.0045355876573
1736497170.32501,1414.968296277485
1736497170.3269699,1410.4535794967003
1736497170.32892,1405.4399969377469
1736497170.3308702,1399.9633210640015
1736497170.3328202,1394.1641627801207
